iso3,year,gdp_usd,gdp_per_capita_usd,trade_openness,govt_revenue_pct_gdp,govt_expenditure_pct_gdp,rd_pct_gdp,gov_effectiveness
AND,1971,89406608.1458151,4169.69537103885,,,,,
AND,1972,113414397.365635,4940.29696239207,,,,,
AND,1973,150841639.297444,6151.02717030722,,,,,
AND,1974,186557081.998137,7139.5745119838,,,,,
AND,1975,220112572.205331,7925.41577090452,,,,,
AND,1976,227283850.831271,7721.28858646797,,,,,
AND,1977,253997897.226968,8167.92286159334,,,,,
AND,1978,308020261.164149,9409.50851272793,,,,,
AND,1979,411548748.354729,11996.4072860354,,,,,
AND,1980,446377776.798001,12474.9252919904,,,,,
AND,1981,388983266.199886,10465.2604643624,,,,,
AND,1982,375914743.581006,9697.52201994133,,,,,
AND,1983,327850042.515872,8082.09152017435,,,,,
AND,1984,330073080.637098,7808.13002713549,,,,,
AND,1985,346742714.675152,7911.98436223964,,,,,
AND,1986,481996012.869071,10539.1177869653,,,,,
AND,1987,611299924.540506,12828.1519430152,,,,,
AND,1988,721425939.15155,14599.0355178798,,,,,
AND,1989,795489582.04491,15714.9265516576,,,,,
AND,1990,1028989692.06787,19563.6574722488,,,,,
AND,1991,1106891361.53948,19533.2620668023,,,,,
AND,1992,1209992020.29543,20099.5352208543,,,,,
AND,1993,1007090269.86956,15916.8395162087,,,,,
AND,1994,1017544068.8408,15748.5307503373,,,,,
AND,1995,1178745282.8678,18443.2545197741,,,,,
AND,1996,1224024139.21295,19130.1597151312,,,,,0.7592137
AND,1997,1180645571.8643,18247.9995651361,,,,,
AND,1998,1211953994.05714,18536.5084282698,,,,,0.7500861
AND,1999,1240295198.78331,18875.2883698571,,,,,
AND,2000,1432606296.26722,21810.2503808666,,,,,0.7532431
AND,2001,1548265926.7572,23511.2969500881,,,,,
AND,2002,1764279817.95815,26528.1300628236,,,,,0.7534943
AND,2003,2366941614.03001,34063.575598394,,,,,0.7406422
AND,2004,2900244053.52758,39021.1107100919,,,,,0.8951417
AND,2005,3161084846.97686,40829.8116399538,,,,,0.7337585
AND,2006,3459336818.03742,43467.1963063068,,,,,1.2471197
AND,2007,3957627536.75624,48336.2548304926,,,,,1.2515751
AND,2008,4102317468.30156,49132.4925840057,,,,,1.2550503
AND,2009,3688974807.45037,43975.0000888133,,,,,1.2671846
AND,2010,3449925693.58181,42746.830391567,,,,,1.2694874
AND,2011,3629133062.55168,46657.1495384811,,,,,1.2681327
AND,2012,3188653258.61001,41500.5499988288,,,,,1.2684739
AND,2013,3193513470.43941,42470.3230369366,,,,,1.268855
AND,2014,3271686452.47686,44369.6712976777,,,,,1.8005729
AND,2015,2789882569.1005,38654.95287916,,,,,1.7977313
AND,2016,2896611878.6258,40129.8385811474,,,,,1.7987191
AND,2017,3000160414.63795,40672.9717424447,,,,,1.7990398
AND,2018,3218418631.67579,42819.7577456133,,27.9144162860928,,,1.8008008
AND,2019,3155150255.91195,41257.816459345,,27.7592002561719,,,1.8025173
AND,2020,2891002460.29153,37361.1070081615,,28.213551330059,,,1.7976151
AND,2021,3324648075.56293,42425.7066454357,,26.4846992298031,,,1.8005243
AND,2022,3380611694.73392,42414.0479861228,,28.0166478589307,,0.15818,1.1591046
AND,2023,3785065524.84754,46812.4261013102,,28.0090830750899,,,1.1602754
AND,2024,4039842405.48117,49303.6491674336,,29.8173002100542,,,1.1590368
ARE,1970,685986701.316701,2394.06811471055,,,,,
ARE,1971,939893599.634201,2805.42642722587,,,,,
ARE,1972,1415086929.3006,3675.41681419534,,,,,
ARE,1973,4231243615.86089,9695.81418807304,,,,,
ARE,1974,11651505689.4244,23822.9715560307,,,,,
ARE,1975,14720728248.5355,27117.1880729614,,,,,
ARE,1976,19213158778.7928,31196.9791785759,,,,,
ARE,1977,24871775164.6043,35020.3604355962,,,,,
ARE,1978,23775764224.6832,29379.1277424991,,,,,
ARE,1979,31225659620.9951,34238.2864453187,,,,,
ARE,1980,43599160050.3322,42925.2338784407,,,,,
ARE,1981,49333424135.1131,44854.4800315615,,,,,
ARE,1982,46622718605.2847,39972.4946674594,,,,,
ARE,1983,42803323345.1376,34650.0041245988,,,,,
ARE,1984,41807954235.903,32012.3141540273,,,,,
ARE,1985,40603650231.5445,29467.5419758929,,,,,
ARE,1986,33943612094.7971,23132.0739675988,,,,,
ARE,1987,36384908744.2114,23112.623420646,,,,,
ARE,1988,36275674203.2144,21569.7068852997,,,,,
ARE,1989,41464995913.9199,23166.7305903787,,,,,
ARE,1990,50701443748.2975,26709.993440327,,,,,
ARE,1991,51552165622.4462,25690.9686321448,,,,,
ARE,1992,54239171887.769,25648.2727760844,,,,,
ARE,1993,55625170253.337,25032.7822702907,,,,,
ARE,1994,59305093979.842,25472.6396578979,,,,,
ARE,1995,65743666575.8649,27003.2006807782,,,,,
ARE,1996,73571233996.1863,28323.1650870532,,,,,0.4726212
ARE,1997,78839008444.5655,27982.7957040564,,6.56351712747652,6.05387363605581,,
ARE,1998,75674336283.1858,24889.4269192279,,6.91292989917744,6.54878847413229,,0.7389343
ARE,1999,84445473110.9598,25855.8605046587,,6.51896326009429,6.20006062052198,,
ARE,2000,104337372362.151,29865.502347066,,,,,0.7403877
ARE,2001,103311640571.818,27745.1708087672,89.8645799289427,,,,
ARE,2002,109816201497.617,27753.6089526346,93.0716588147781,,,,0.8507318
ARE,2003,124346358066.712,29659.5428567811,102.300169490783,,,,0.8458791
ARE,2004,147824370319.946,33376.7152295209,116.622612523831,,,,0.5800975
ARE,2005,180617467964.602,38719.3138307623,119.552871642254,,,,0.6201962
ARE,2006,222116541865.214,44342.6048322482,119.470669577786,,,,0.87732
ARE,2007,257916133424.098,45854.7325158162,136.798152865771,,,,0.9034445
ARE,2008,315474615738.598,50054.1700681803,148.513544025723,,,,0.8286183
ARE,2009,253547358747.447,37803.0663738777,153.461944358373,,,,0.8843205
ARE,2010,307736419332.88,44795.2949302268,135.485709128426,,,,0.8322561
ARE,2011,368881143635.126,51921.904511613,144.176786868982,3.24445123243765,3.92178563553173,0.47252,0.9928203
ARE,2012,392793464942.138,53141.6124340099,156.637694501481,3.09477157796419,4.05152749398697,,1.1560961
ARE,2013,409632675289.313,53247.2409495441,157.398083989641,2.98530127321893,3.81987248786939,,1.1923106
ARE,2014,424935874744.724,52725.2358407934,159.515615057764,2.85499201917944,3.69545788550068,0.67523,1.4160016
ARE,2015,381973042886.317,44910.334995523,164.286182737903,3.31008273528938,4.02087301005855,0.86569,1.4040254
