iso3,country_name,unga_alignment_score,wb_vote_share_score,ifc_presence_score,alignment_score,excluded_components
SOM,"Somalia, Fed. Rep.",,0.0,0,0.0,unga_alignment_score
SSD,South Sudan,,0.0,0,0.0,unga_alignment_score
SYR,Syrian Arab Republic,,0.0,0,0.0,unga_alignment_score
TCD,Chad,,0.0,0,0.0,unga_alignment_score
TGO,Togo,,0.0,0,0.0,unga_alignment_score
UGA,Uganda,,0.0,0,0.0,unga_alignment_score
YEM,"Yemen, Rep.",,0.0,0,0.0,unga_alignment_score
AGO,Angola,,0.0,0,0.0,unga_alignment_score
BEN,Benin,,0.0,0,0.0,unga_alignment_score
BGD,Bangladesh,,0.0,100,50.0,unga_alignment_score
BOL,Bolivia,,0.0,0,0.0,unga_alignment_score
BTN,Bhutan,,0.0,0,0.0,unga_alignment_score
CIV,Cote d'Ivoire,,0.0,0,0.0,unga_alignment_score
CMR,Cameroon,,0.0,0,0.0,unga_alignment_score
COG,"Congo, Rep.",,0.0,0,0.0,unga_alignment_score
COM,Comoros,,0.0,0,0.0,unga_alignment_score
DJI,Djibouti,,0.0,0,0.0,unga_alignment_score
EGY,"Egypt, Arab Rep.",,0.0,100,50.0,unga_alignment_score
FSM,"Micronesia, Fed. Sts.",,0.0,0,0.0,unga_alignment_score
GHA,Ghana,,0.0,100,50.0,unga_alignment_score
GIN,Guinea,,0.0,0,0.0,unga_alignment_score
HND,Honduras,,0.0,0,0.0,unga_alignment_score
HTI,Haiti,,0.0,0,0.0,unga_alignment_score
IND,India,,0.0,100,50.0,unga_alignment_score
JOR,Jordan,,0.0,0,0.0,unga_alignment_score
KEN,Kenya,,0.0,100,50.0,unga_alignment_score
KGZ,Kyrgyz Republic,,0.0,0,0.0,unga_alignment_score
KHM,Cambodia,,0.0,0,0.0,unga_alignment_score
KIR,Kiribati,,0.0,0,0.0,unga_alignment_score
LAO,Lao PDR,,0.0,0,0.0,unga_alignment_score
LBN,Lebanon,,0.0,0,0.0,unga_alignment_score
LKA,Sri Lanka,,0.0,0,0.0,unga_alignment_score
LSO,Lesotho,,0.0,0,0.0,unga_alignment_score
MAR,Morocco,,0.0,100,50.0,unga_alignment_score
MMR,Myanmar,,0.0,0,0.0,unga_alignment_score
MRT,Mauritania,,0.0,0,0.0,unga_alignment_score
NAM,Namibia,,0.0,0,0.0,unga_alignment_score
NGA,Nigeria,,0.0,100,50.0,unga_alignment_score
NIC,Nicaragua,,0.0,0,0.0,unga_alignment_score
NPL,Nepal,,0.0,0,0.0,unga_alignment_score
PAK,Pakistan,,0.0,100,50.0,unga_alignment_score
PHL,Philippines,,0.0,100,50.0,unga_alignment_score
PNG,Papua New Guinea,,0.0,0,0.0,unga_alignment_score
PSE,West Bank and Gaza,,0.0,0,0.0,unga_alignment_score
SEN,Senegal,,0.0,0,0.0,unga_alignment_score
SLB,Solomon Islands,,0.0,0,0.0,unga_alignment_score
STP,Sao Tome and Principe,,0.0,0,0.0,unga_alignment_score
SWZ,Eswatini,,0.0,0,0.0,unga_alignment_score
TJK,Tajikistan,,0.0,0,0.0,unga_alignment_score
TLS,Timor-Leste,,0.0,0,0.0,unga_alignment_score
TUN,Tunisia,,0.0,100,50.0,unga_alignment_score
TZA,Tanzania,,0.0,0,0.0,unga_alignment_score
UZB,Uzbekistan,,0.0,0,0.0,unga_alignment_score
VNM,Viet Nam,,0.0,100,50.0,unga_alignment_score
VUT,Vanuatu,,0.0,0,0.0,unga_alignment_score
ZMB,Zambia,,0.0,0,0.0,unga_alignment_score
ZWE,Zimbabwe,,0.0,0,0.0,unga_alignment_score
ALB,Albania,,0.0,0,0.0,unga_alignment_score
ARG,Argentina,,0.0,100,50.0,unga_alignment_score
ARM,Armenia,,0.0,100,50.0,unga_alignment_score
AZE,Azerbaijan,,0.0,100,50.0,unga_alignment_score
BIH,Bosnia and Herzegovina,,0.0,0,0.0,unga_alignment_score
BLR,Belarus,,0.0,0,0.0,unga_alignment_score
BLZ,Belize,,0.0,0,0.0,unga_alignment_score
BRA,Brazil,,0.0,100,50.0,unga_alignment_score
BWA,Botswana,,0.0,0,0.0,unga_alignment_score
CHN,China,,0.0,100,50.0,unga_alignment_score
COL,Colombia,,0.0,100,50.0,unga_alignment_score
CPV,Cabo Verde,,0.0,0,0.0,unga_alignment_score
CUB,Cuba,,0.0,0,0.0,unga_alignment_score
DMA,Dominica,,0.0,0,0.0,unga_alignment_score
DOM,Dominican Republic,,0.0,100,50.0,unga_alignment_score
DZA,Algeria,,0.0,0,0.0,unga_alignment_score
ECU,Ecuador,,0.0,100,50.0,unga_alignment_score
FJI,Fiji,,0.0,0,0.0,unga_alignment_score
GAB,Gabon,,0.0,0,0.0,unga_alignment_score
GEO,Georgia,,0.0,100,50.0,unga_alignment_score
GNQ,Equatorial Guinea,,0.0,0,0.0,unga_alignment_score
GRD,Grenada,,0.0,0,0.0,unga_alignment_score
GTM,Guatemala,,0.0,100,50.0,unga_alignment_score
IDN,Indonesia,,0.0,100,50.0,unga_alignment_score
IRN,"Iran, Islamic Rep.",,0.0,0,0.0,unga_alignment_score
IRQ,Iraq,,0.0,0,0.0,unga_alignment_score
JAM,Jamaica,,0.0,0,0.0,unga_alignment_score
KAZ,Kazakhstan,,0.0,100,50.0,unga_alignment_score
LBY,Libya,,0.0,0,0.0,unga_alignment_score
LCA,St. Lucia,,0.0,0,0.0,unga_alignment_score
MDA,Moldova,,0.0,0,0.0,unga_alignment_score
MDV,Maldives,,0.0,0,0.0,unga_alignment_score
MEX,Mexico,,0.0,100,50.0,unga_alignment_score
MHL,Marshall Islands,,0.0,0,0.0,unga_alignment_score
MKD,North Macedonia,,0.0,0,0.0,unga_alignment_score
MNE,Montenegro,,0.0,0,0.0,unga_alignment_score
MNG,Mongolia,,0.0,0,0.0,unga_alignment_score
MUS,Mauritius,,0.0,0,0.0,unga_alignment_score
MYS,Malaysia,,0.0,100,50.0,unga_alignment_score
PER,Peru,,0.0,100,50.0,unga_alignment_score
PRY,Paraguay,,0.0,100,50.0,unga_alignment_score
