# Canonical country mapping table for the Donor Readiness Index
# Key: iso3 (ISO 3166-1 alpha-3)
# income_group: HIC (High Income), UMC (Upper-Middle Income), LMC (Lower-Middle Income), LIC (Low Income)
# wdi_name, imf_name, ida_name: source-specific name variants (blank = same as country_name)
iso3,country_name,income_group,wdi_name,imf_name,ida_name,is_current_donor
SSD,South Sudan,LIC,nan,nan,nan,0
SYR,Syrian Arab Republic,LIC,nan,nan,nan,0
TCD,Chad,LIC,nan,nan,nan,0
TGO,Togo,LIC,nan,nan,nan,0
UGA,Uganda,LIC,nan,nan,nan,0
YEM,"Yemen, Rep.",LIC,nan,nan,nan,0
AGO,Angola,LMC,nan,nan,nan,0
BEN,Benin,LMC,nan,nan,nan,0
BGD,Bangladesh,LMC,Bangladesh,Bangladesh,Bangladesh,0
BOL,Bolivia,LMC,nan,nan,nan,0
BTN,Bhutan,LMC,nan,nan,nan,0
CIV,Cote d'Ivoire,LMC,nan,nan,nan,0
CMR,Cameroon,LMC,nan,nan,nan,0
COG,"Congo, Rep.",LMC,nan,nan,nan,0
COM,Comoros,LMC,nan,nan,nan,0
DJI,Djibouti,LMC,nan,nan,nan,0
EGY,"Egypt, Arab Rep.",LMC,Egypt Arab Rep.,Egypt,Egypt,0
FSM,"Micronesia, Fed. Sts.",LMC,nan,nan,nan,0
GHA,Ghana,LMC,Ghana,Ghana,Ghana,0
GIN,Guinea,LMC,nan,nan,nan,0
HND,Honduras,LMC,nan,nan,nan,0
HTI,Haiti,LMC,nan,nan,nan,0
IND,India,LMC,India,India,India,0
JOR,Jordan,LMC,nan,nan,nan,0
KEN,Kenya,LMC,Kenya,Kenya,Kenya,0
KGZ,Kyrgyz Republic,LMC,nan,nan,nan,0
KHM,Cambodia,LMC,nan,nan,nan,0
KIR,Kiribati,LMC,nan,nan,nan,0
LAO,Lao PDR,LMC,nan,nan,nan,0
LBN,Lebanon,LMC,nan,nan,nan,0
LKA,Sri Lanka,LMC,nan,nan,nan,0
LSO,Lesotho,LMC,nan,nan,nan,0
MAR,Morocco,LMC,Morocco,Morocco,Morocco,0
MMR,Myanmar,LMC,nan,nan,nan,0
MRT,Mauritania,LMC,nan,nan,nan,0
NAM,Namibia,LMC,nan,nan,nan,0
NGA,Nigeria,LMC,Nigeria,Nigeria,Nigeria,0
NIC,Nicaragua,LMC,nan,nan,nan,0
NPL,Nepal,LMC,nan,nan,nan,0
PAK,Pakistan,LMC,Pakistan,Pakistan,Pakistan,0
PHL,Philippines,LMC,Philippines,Philippines,Philippines,0
PNG,Papua New Guinea,LMC,nan,nan,nan,0
PSE,West Bank and Gaza,LMC,nan,nan,nan,0
SEN,Senegal,LMC,nan,nan,nan,0
SLB,Solomon Islands,LMC,nan,nan,nan,0
STP,Sao Tome and Principe,LMC,nan,nan,nan,0
SWZ,Eswatini,LMC,nan,nan,nan,0
TJK,Tajikistan,LMC,nan,nan,nan,0
TLS,Timor-Leste,LMC,nan,nan,nan,0
